"STATISTIC","Statistic Label","TLIST(M1)","Month","C01835V02260","Licensing Authority","C01841V02268","Type of Fuel","UNIT","VALUE"
"TEM27C01","New Private Cars","202101","2021 January","-","All licensing authorities","-","All fuel types","Number","16948"
"TEM27C01","New Private Cars","202101","2021 January","-","All licensing authorities","1","Petrol","Number","5557"
"TEM27C01","New Private Cars","202101","2021 January","-","All licensing authorities","2","Diesel","Number","5801"
"TEM27C01","New Private Cars","202101","2021 January","-","All licensing authorities","3","Other fuel types","Number","9"
"TEM27C01","New Private Cars","202101","2021 January","-","All licensing authorities","4","Petrol and electric hybrid","Number","3605"
"TEM27C01","New Private Cars","202101","2021 January","-","All licensing authorities","6","Electric","Number","739"
"TEM27C01","New Private Cars","202101","2021 January","-","All licensing authorities","7","Petrol or Diesel plug-in hybrid electric","Number","827"
"TEM27C01","New Private Cars","202101","2021 January","-","All licensing authorities","9","Diesel and electric hybrid","Number","410"
"TEM27C01","New Private Cars","202101","2021 January","01","Carlow","-","All fuel types","Number","249"
"TEM27C01","New Private Cars","202101","2021 January","01","Carlow","1","Petrol","Number","69"
"TEM27C01","New Private Cars","202101","2021 January","01","Carlow","2","Diesel","Number","118"
"TEM27C01","New Private Cars","202101","2021 January","01","Carlow","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","01","Carlow","4","Petrol and electric hybrid","Number","29"
"TEM27C01","New Private Cars","202101","2021 January","01","Carlow","6","Electric","Number","17"
"TEM27C01","New Private Cars","202101","2021 January","01","Carlow","7","Petrol or Diesel plug-in hybrid electric","Number","12"
"TEM27C01","New Private Cars","202101","2021 January","01","Carlow","9","Diesel and electric hybrid","Number","4"
"TEM27C01","New Private Cars","202101","2021 January","02","Cavan","-","All fuel types","Number","236"
"TEM27C01","New Private Cars","202101","2021 January","02","Cavan","1","Petrol","Number","48"
"TEM27C01","New Private Cars","202101","2021 January","02","Cavan","2","Diesel","Number","125"
"TEM27C01","New Private Cars","202101","2021 January","02","Cavan","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","02","Cavan","4","Petrol and electric hybrid","Number","42"
"TEM27C01","New Private Cars","202101","2021 January","02","Cavan","6","Electric","Number","10"
"TEM27C01","New Private Cars","202101","2021 January","02","Cavan","7","Petrol or Diesel plug-in hybrid electric","Number","8"
"TEM27C01","New Private Cars","202101","2021 January","02","Cavan","9","Diesel and electric hybrid","Number","3"
"TEM27C01","New Private Cars","202101","2021 January","03","Clare","-","All fuel types","Number","436"
"TEM27C01","New Private Cars","202101","2021 January","03","Clare","1","Petrol","Number","133"
"TEM27C01","New Private Cars","202101","2021 January","03","Clare","2","Diesel","Number","168"
"TEM27C01","New Private Cars","202101","2021 January","03","Clare","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","03","Clare","4","Petrol and electric hybrid","Number","95"
"TEM27C01","New Private Cars","202101","2021 January","03","Clare","6","Electric","Number","14"
"TEM27C01","New Private Cars","202101","2021 January","03","Clare","7","Petrol or Diesel plug-in hybrid electric","Number","12"
"TEM27C01","New Private Cars","202101","2021 January","03","Clare","9","Diesel and electric hybrid","Number","14"
"TEM27C01","New Private Cars","202101","2021 January","04","Donegal","-","All fuel types","Number","396"
"TEM27C01","New Private Cars","202101","2021 January","04","Donegal","1","Petrol","Number","108"
"TEM27C01","New Private Cars","202101","2021 January","04","Donegal","2","Diesel","Number","165"
"TEM27C01","New Private Cars","202101","2021 January","04","Donegal","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","04","Donegal","4","Petrol and electric hybrid","Number","67"
"TEM27C01","New Private Cars","202101","2021 January","04","Donegal","6","Electric","Number","12"
"TEM27C01","New Private Cars","202101","2021 January","04","Donegal","7","Petrol or Diesel plug-in hybrid electric","Number","24"
"TEM27C01","New Private Cars","202101","2021 January","04","Donegal","9","Diesel and electric hybrid","Number","20"
"TEM27C01","New Private Cars","202101","2021 January","05","Galway","-","All fuel types","Number","672"
"TEM27C01","New Private Cars","202101","2021 January","05","Galway","1","Petrol","Number","186"
"TEM27C01","New Private Cars","202101","2021 January","05","Galway","2","Diesel","Number","277"
"TEM27C01","New Private Cars","202101","2021 January","05","Galway","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","05","Galway","4","Petrol and electric hybrid","Number","155"
"TEM27C01","New Private Cars","202101","2021 January","05","Galway","6","Electric","Number","27"
"TEM27C01","New Private Cars","202101","2021 January","05","Galway","7","Petrol or Diesel plug-in hybrid electric","Number","15"
"TEM27C01","New Private Cars","202101","2021 January","05","Galway","9","Diesel and electric hybrid","Number","12"
"TEM27C01","New Private Cars","202101","2021 January","06","Kerry","-","All fuel types","Number","426"
"TEM27C01","New Private Cars","202101","2021 January","06","Kerry","1","Petrol","Number","113"
"TEM27C01","New Private Cars","202101","2021 January","06","Kerry","2","Diesel","Number","194"
"TEM27C01","New Private Cars","202101","2021 January","06","Kerry","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","06","Kerry","4","Petrol and electric hybrid","Number","72"
"TEM27C01","New Private Cars","202101","2021 January","06","Kerry","6","Electric","Number","15"
"TEM27C01","New Private Cars","202101","2021 January","06","Kerry","7","Petrol or Diesel plug-in hybrid electric","Number","18"
"TEM27C01","New Private Cars","202101","2021 January","06","Kerry","9","Diesel and electric hybrid","Number","14"
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","-","All fuel types","Number","867"
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","1","Petrol","Number","324"
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","2","Diesel","Number","258"
